"V","PE"
64.33,442.78
69.48,444.31
71.8,436.71
36.3,479.66
36.18,469.44
40.8,474.87
41.26,466.02
71.85,427.83
40.71,471.59
71.94,427.69
60.93,440.52
50.05,440.86
57.5,451.1
67.79,442.19
41.31,486.46
44.85,459.98
72.29,435.26
61.85,436.46
65.59,443.66
43.79,462.19
63.77,440.58
42.86,466.17
69.82,439.05
43.69,464.68
68.08,438.91
61.87,447.93
58.96,452.89
73.68,430.39
73.67,431.07
69.51,442.56
71.73,429.97
71.64,438.73
70.94,436.29
65.48,454.34
44.89,443.18
62.34,435.94
64.44,448.61
42.49,477.78
41.39,478.52
43.41,464.26
42.34,459.6
79.05,430.42
65.71,449.18
49.21,443.53
52.08,449.55
38.56,487.45
43.43,453.32
52.9,457.66
35.19,484.03
65.27,444.91
48.6,449.58
38.06,485.98
74.93,443.06
43.34,461.7
65.94,454.76
71.06,430.66
42.99,468.35
76.86,430.62
73.68,427.63
58.62,450.05
59.04,443.12
73.46,438.41
65.59,440.96
68.51,440.96
41.92,467.79
67.98,434.65
59.87,448.39
51.43,459.8
58.33,448.72
61.87,453.1
58.62,447.13
61.25,435.9
40.78,480.36
58.12,448.32
61.5,442.35
64.45,450.67
39.54,461.73
43.43,448.92
42.44,461.55
40.56,479.87
74.67,425.58
41.92,485.08
68.67,446.67
69.45,440.26
59.39,438.64
58.86,446.55
45.51,469.69
44.06,456.13
39.63,468.49
44.2,469.02
39.61,475.02
69.13,426.29
40.71,465.58
39.69,459.69
62.1,457.14
67.25,434.83
43.79,485.26
59.92,437.9
70.32,427.9
60.29,446.17
70.32,427.2
63.73,441.75
40.1,471.07
41.93,479.65
42.07,467.91
45.87,455.96
63.09,450
40.64,476.99
40.24,466.24
75.08,442.7
66.54,437.19
51.95,450.07
61.08,449.67
72.24,430.73
56.89,441.29
40.81,484.55
73.42,445.58
41.44,472.11
44.21,461.03
63.47,445.87
46.18,459.4
67.32,449.21
73.18,439.73
39.39,468.88
74.22,433.73
43.56,482.71
71.85,426.82
51.86,442.48
70.02,437.96
73.17,438.5
71.8,436.94
59.21,446.33
68.24,429.5
43.43,454.58
70.94,440.04
40.07,494.87
41.14,464.86
59.87,447.88
45.01,456.08
63.9,442.43
40.1,469.33
44.88,474.26
40.89,468.8
69.34,436.82
69.71,440.43
43.34,461.27
40.62,468.14
70.94,431.77
44.05,443.84
41.55,473.99
40.64,474.58
39.52,473.99
58.59,457.3
40.2,464.5
37.83,472.46
63.47,444.48
58.62,449.02
38.56,487.63
44.47,469.37
65.12,442.86
68.28,435.9
44.89,444.76
69.23,433.89
39,466.7
43.52,464.74
41.38,487.71
41.54,476.12
43.34,464.36
40.1,473.63
69.88,434.02
41.31,489.86
38.28,471.19
57.25,453.03
42.49,478.43
54.3,462.87
57.32,441.3
43.69,466.22
61.27,451.43
36.71,466.07
43.48,467.83
69.23,436.18
49.16,445.18
43.99,462.48
39.99,463.69
66.56,434.88
40.71,474.25
39.42,490.34
40.83,469.86
74.9,434.93
39.66,480.05
75.23,440.7
40.1,475.02
44.9,457.11
40.69,474.99
75.23,435.64
50.88,454.94
41.85,468.4
44.6,468.67
43.21,433.31
64.45,447.16
68.3,434.3
62.1,451.81
71.64,440.51
71.29,430.8
60.1,450.95
66.56,428
62.26,436.89
73.9,436.56
41.26,483.61
44.2,462.87
54.2,444.78
49.69,464.72
42.03,460.84
50.12,444.56
41.78,470.84
40.64,477.99
43.14,465.45
44.47,464.25
61.45,446.99
39.96,470.8
38.91,468.87
66.49,442.38
40.43,491.81
75.6,437.31
71.8,435.82
57.5,446.96
68.28,449.7
52.84,450.88
69.71,440.99
66.48,435.56
71.58,434.27
60.77,444.57
73.06,433.31
62.91,444.99
73.5,440.29
35.19,488.98
43.34,468.8
68.94,429.25
69.88,435.59
40.55,476.37
44.6,468.47
69.05,436.08
39.35,471.11
40.07,495.24
44.2,457.26
70.47,434.67
71.25,431.18
43.13,484.42
58.98,444.43
58.95,443.61
40.1,471.49
77.17,432.2
44.03,470.04
41.49,465.24
39.33,489.95
51.86,442.81
35.76,473.01
61.27,447.95
43.77,440.31
71.58,436.27
41.16,475.7
66.54,448.93
44.34,465.89
60.07,440.43
62.39,445.85
37.73,473.54
39.61,489.6
66.49,450.05
78.92,432.67
74.9,434.66
41.46,482.36
62.39,450.08
49.15,462.22
63.94,438.33
39.64,464.2
67.17,440.65
49.83,463.65
73.67,439.27
36.71,472.62
44.84,467.45
73.68,431.11
37.7,481.56
43.34,463.77
40.62,471.26
43.14,477.02
43.99,462.32
40.89,462.08
41.92,485.11
71.25,435.66
72.99,435.47
51.19,448.1
53.82,463.18
60.32,445
67.25,438.42
39.58,472.61
43.14,459.02
61.27,456.59
41.35,463.37
38.18,480.14
52.3,444.4
49.21,448.73
41.54,484.08
41.23,457.53
39.64,488.92
41.01,467.6
61.86,440.57
43.21,434.09
59.21,437.11
44.78,456.17
63.07,446.62
41.76,467.33
40.55,461.31
41.17,478.21
69.94,441.15
42.99,464.62
42.44,480.04
43.99,476.06
69.98,431.84
37.83,470.44
63.76,443.86
68.27,428.27
41.67,475.07
60.07,451.5
41.93,472.95
58.66,454.4
60.08,452.34
43.41,469.34
58.59,452.52
39.54,464.19
64.96,431.21
40.75,471.44
64.44,438.14
59.21,441.22
71.32,437.92
39.63,466.83
53.16,458.04
49.69,457.05
69.13,430.41
73.91,431.92
71.98,428.44
70.79,436.43
75.6,433.48
63.77,443.65
68.08,431.77
43.67,477.23
43.43,450.09
58.84,445.76
40,475.49
63.9,440.23
42.49,483.56
68.61,447.89
58.05,445.68
59.8,454.99
47.83,461.46
54.3,467.81
52.84,436.46
42.34,466.17
75.23,439.33
40.27,479.22
39.13,467.28
70.47,438.5
72.58,425.71
38.38,482.26
46.18,455.8
76.2,438.75
63.56,445.9
65.94,450.33
44.78,453.39
69.94,432.68
65.27,440.51
63.57,449.01
58.95,442.3
49.02,440.68
41.4,466.64
42.07,466.05
72.29,432.33
45,480.62
39.42,482.02
39.85,475.74
39.33,490.41
73.42,434.95
59.8,450.62
69.45,436.24
44.84,465.09
48.6,439.4
71.77,425.66
40.22,476.7
72.24,432.13
64.05,439.24
57.5,448.22
65.18,438.97
61.27,450.88
57.17,448.75
41.16,463.9
44.21,462.11
49.02,442.84
72.86,433.84
49.39,462.48
68.24,429.71
63.94,441.78
78.87,430.49
44.58,461.96
58.62,447.48
68.94,441.78
37.5,474.08
41.2,476
42.44,459.79
40.35,484.9
77.95,432.98
46.93,449.58
50.88,460.56
44.84,466.67
79.74,433.45
60.37,436.23
68.12,440.08
48.06,447.59
39.33,490.03
59.27,441.99
40.55,461.8
43.69,470.04
66.86,454.02
44.92,458.12
64.27,443.94
39.63,466.68
40.24,474.07
61.25,435.48
41.38,486.18
43.22,465.89
41.58,464.77
40.71,477.94
75.6,441.04
52.08,453.31
38.52,455.5
41.58,461.56
41.74,474.81
34.69,481.44
42.99,472.84
41.46,479.94
43.79,474.79
40.46,475.06
66.44,431.54
40.69,476.75
68.28,444.54
41.54,477.69
39.61,477.34
52.9,458.59
45.38,458.63
59.87,446.28
43.14,464.72
39.85,443.73
39.61,474.88
44.57,449.93
78.92,434.55
44.58,462.01
45.01,456.12
58.33,448.54
49.3,440.65
56.85,442.96
62.39,448.13
70.36,438.47
43.5,429.96
48.14,448.52
36.66,481.03
44.58,478.53
40.1,474.97
70.83,431.33
65.74,440.56
75.23,434.82
71.98,432.06
43.13,468.45
57.17,446.61
61.47,445.65
41.79,457.74
50.66,454.78
42.44,480.49
67.25,435.52
72.58,427.31
71.64,434.91
40.22,478.58
42.99,468.43
44.57,447.88
77.95,431.62
45,465.78
42.44,470.86
43.56,460.87
42.34,463.89
44.92,474.69
43.7,470.29
40.67,479.18
71.77,429.7
59.07,440.6
52.75,458.84
73.67,433.44
43.65,486.08
69.59,435.76
74.99,438.26
58.49,452.82
66.25,441.53
39.54,468.22
59.92,436.7
40,468.09
59.27,441.64
41.17,469.69
57.5,448.72
58.41,444.74
39.66,480.05
50.16,450.38
43.71,463.6
63.91,448.15
63.94,439.63
69.71,439.38
68.51,441.17
60.75,439.46
77.95,433.47
66.51,435.47
40.71,469.17
53.16,457.94
42.86,468.63
47.93,439.16
52.08,449.99
52.84,449.06
41.54,460.07
64.96,427.51
58.62,450.96
39.16,463.78
64.96,425.82
69.13,427.95
69.23,436.36
70.32,440.59
68.08,432.91
73.56,435.23
70.4,432.29
69.45,435.64
67.71,446.23
40.8,474.47
67.71,445.12
68.3,426.86
40.77,479.18
39.9,484.21
37.2,470.97
40.11,475.01
71.94,427.41
70.02,447.29
42.86,467.29
60.27,441.85
73.21,430.2
40.6,478.69
60.77,447.62
66.51,434.8
41.44,479.3
39.96,470.22
45.87,481.88
41.79,452.84
69.98,433.47
47.83,460.43
39.64,492.06
40.27,473.89
40.62,483.17
36.24,480.69
58.33,444
60.95,448.43
43.13,485.6
61.5,437.03
64.69,438.36
41.2,466.49
39.28,473.6
65.75,435.6
39.04,483.86
45,481.96
43.96,464.58
69.59,433.97
44.57,446.49
66.54,431.33
40.75,476.84
39.3,464.7
43.77,448.25
49.5,463.4
43.13,470.37
48.14,449.65
58.95,441.4
39.13,474.61
52.9,459.61
71.58,432.26
59.39,442.92
39.58,465.85
66.48,440.12
42.44,462.44
54.5,451.52
73.67,431.57
73.4,438.25
38.62,462.25
36.99,462.94
41.17,480.71
42.86,476.7
36.25,479.66
39.33,491.17
61.27,450.01
60.84,441.9
65.06,440.5
68.67,436.4
41.96,468.33
44.63,456.68
41.44,477.18
53.82,462.6
44.34,468.27
43.34,463.24
39.35,476.64
42.18,475.74
37.85,468.63
51.86,446.74
49.21,455.97
80.18,431.55
43.34,466.38
43.14,459.83
45.51,469.27
40.07,494.39
43.5,473.84
43.43,451.38
41.62,461.07
63.94,446.57
41.14,469.73
38.53,470.39
41.17,473.84
45.87,458.69
42.18,465.75
41.82,475.58
74.22,428.9
41.17,479.78
68.14,426.88
64.84,442.58
48.04,464.6
69.34,435.02
41.38,487.49
41.1,460.03
42.28,465.2
40,479.32
40.46,476.72
54.2,441.99
45.01,460.19
53.82,462.69
65.46,447.07
50.23,458.08
63.77,441.5
59.21,445.82
64.79,439.75
41.23,464.85
49.16,442.49
44.06,454.51
66.48,437.73
58.69,435.96
70.36,445.37
58.46,447.1
69.89,425.72
39.16,473.87
60.07,441.61
39.37,488.13
52.75,464.82
37.83,470.66
52.36,453.76
53.29,459.89
41.17,470.67
38.25,470.36
40.72,485.92
38.47,466.51
41.74,471.79
44.58,475.24
74.16,437.18
60.23,445.88
68.31,436.15
44.57,446.84
40.62,481.15
74.16,430.37
73.56,435.15
41.26,470.27
71.29,430.46
58.84,446.11
70.72,445.28
61.02,438.96
71.14,429.21
74.87,435.05
71.58,430.47
40.12,468.15
69.59,433.3
57.82,435.4
59.14,436.09
41.35,459.64
43.14,478.73
43.13,471.47
43.79,462.4
44.6,459.62
66.49,435.79
69.84,435.13
72.86,434.78
47.45,450.6
70.47,441.92
70.47,430.82
45.01,461.64
59.43,435.51
39.54,483.03
75.08,437.26
62.96,447.65
65.12,444.44
48.14,463.77
58.41,440.78
48.06,451.77
35.76,472.45
42.86,472.27
60.29,447.15
77.17,431.26
44.77,469.41
75.08,438.89
60.27,443.93
72.99,437.1
52.3,447.06
42.34,465.65
36.18,475.21
39.04,479.53
41.54,479.03
72.25,434.64
48.14,448.33
43.67,472.77
50.78,447.03
42.03,462.64
71.94,435.29
43.7,465.78
43.7,481.52
36.08,486.39
40.27,474.57
41.46,479.24
68.24,433.43
59.43,440.64
60.77,444.05
44.78,471.09
50.16,450.53
70.4,438.29
45.87,457.8
68.24,426.54
73.67,433.25
65.46,447.92
44.78,457.74
56.57,442.74
69.82,438.47
41.93,473.28
54.42,456.84
75.6,434.65
54.3,471
71.14,436.68
35.77,478.13
58.96,451.82
39.18,471.87
44.03,466.01
40.72,484.29
68.08,429.97
43.8,466.2
42.18,456.61
73.56,430.63
44.85,467.41
57.35,433.27
40.23,484
39.99,461.7
39.22,482.19
73.18,427.11
40.07,488.7
39.42,476.5
52.84,440.2
38.47,464.3
35.77,479.86
62.44,430.66
70.17,436.43
37.8,490.81
59.21,448.04
39,464.93
57.76,458.66
39.53,460.49
42.49,481.46
43.65,481.46
46.93,441.41
42.85,482.05
40.11,471.13
39.3,480.41
62.96,456.18
67.69,430.67
69.88,441.35
63.86,442.69
50.88,456.18
63.86,441.6
47.43,448.22
41.2,469.85
67.83,426.24
41.44,479.89
41.55,484.47
45.08,467.02
57.76,451.79
69.51,433.14
40.71,470.95
77.54,433.75
44.34,469.27
47.45,447.42
68.51,431.39
48.06,439.54
70.02,444.64
43.48,459.96
41.4,480.79
71.64,438.76
45.01,450.37
64.96,427.91
40,458.46
63.94,441.07
71.14,426.97
69.98,429.86
40.77,487.48
66.48,435.59
59.21,444.15
58.86,445.8
68.24,428.52
58.12,448.91
48.78,442.23
39.16,484.86
44.63,451.64
63.31,441.54
69.84,430.54
45.09,453.15
60.1,451.95
48.98,454.43
41.01,467.37
59.87,444.05
65.34,447.41
74.78,446.3
71.32,430.53
64.27,444.76
64.63,453.84
68.94,426.1
41.16,475.66
63.73,440.35
41.54,476.89
60.1,452.57
74.78,434.2
77.95,433.28
67.17,437.91
44.63,471.08
50.78,449.96
39.66,480.05
45.01,451.28
35.77,483.12
40.83,472.41
47.83,455.94
49.69,455.37
42.07,484.57
39.16,480.54
43.79,465.13
69.45,438.28
43.65,480.47
40.81,487.36
59.07,441.94
74.78,436.82
54.9,455.86
43.5,459.18
45.38,460.24
71.77,427.39
41.66,465.14
71.29,426.96
60.84,442.02
73.18,430.57
50.59,453.95
37.14,472.63
56.9,452.46
63.76,440.52
61.41,452.29
49.16,442.39
72.43,437.59
52.3,447.77
37.8,478.68
72.51,439.8
69.05,440.24
44.84,465.72
40.81,481.95
49.64,459.25
65.34,439.59
40,461.16
72.58,431.12
40.02,475.47
36.25,487.03
69.89,434.98
44.63,466
40.66,457.53
40.8,483.43
41.76,463.27
72.99,437.62
42.23,462.51
42.49,486.14
39.82,468.02
50.16,451.2
41.67,456.87
41.1,455.04
58.49,456.84
47.83,454.11
70.4,436.53
71.64,439.73
74.16,438.11
73.18,437.7
68.3,432.62
72.39,432.77
41.76,463.26
72.58,428.06
68.24,430.34
39.39,469.67
46.93,450.04
64.15,451.44
70.94,435.21
42.02,477.67
63.87,447.02
39.16,485.76
58.95,441.91
68.94,431.14
41.92,465.82
69.84,439.06
44.84,468.22
73.06,433.25
73.17,433.37
74.16,431.32
66.56,429.94
58.49,453.02
69.4,436.04
72.43,428.85
40,465.43
44.9,457.72
44.9,459.78
62.96,455.88
69.51,444.17
61.87,448.49
41.26,482.83
65.34,450.53
40.71,471.8
65.48,454.51
64.33,443.87
41.48,465.41
49.39,451
40.67,486.55
69.34,440.6
44.88,459.73
41.38,489.4
44.78,470.66
50.66,455.23
70.02,443.27
44.03,468.13
39.59,463.13
41.54,476.4
58.79,447.71
48.04,465.08
71.77,429.27
38.01,463.61
57.5,453.29
59.14,448.79
60.77,441.21
66.54,440.88
62.26,444.38
60.29,454.4
69.84,427.45
42.02,472.65
42.44,471.24
70.02,444.85
64.69,438.23
47.45,447.14
70.8,432.79
70.32,432.69
45,465.46
66.56,436.51
36.71,473.3
72.86,441.12
42.42,468.27
40.77,473.73
40.22,479.65
40.35,470.8
42.8,459.9
39,464.86
40.55,462.37
41.26,473.76
40.83,470.37
71.25,433.47
41.93,480.01
77.54,435.38
69.45,439.67
74.87,432.68
53.82,465.42
50.32,443.45
74.33,428.96
39.16,482.38
42.28,481.95
38.91,468.83
40.62,480.71
36.71,473.88
67.25,432.21
42.28,468.86
40.83,471.95
73.18,431.02
50.59,470.03
44.47,466.56
43.52,483.79
71.73,432.38
44.06,454.75
40.92,462.4
68.08,434.95
41.4,475.49
69.89,425.55
58.33,446.8
73.91,431.26
41.26,466.95
63.73,447.21
69.13,438.01
71.25,437.22
66.25,436.29
71.85,439.48
41.17,474.4
63.56,442.75
73.17,434.85
48.41,442.23
57.32,441.43
65.94,443.95
58.05,446.93
39.99,473.06
51.43,448.85
40.67,487.33
40.92,461.05
35.57,488.5
41.62,460.61
41.39,472.57
40.71,484.97
74.67,425.34
71.58,433.76
61.41,449.75
69.88,432.47
64.63,447.82
60.77,444.46
65.34,449.88
63.47,443.66
68.51,431.19
42.24,468.86
69.05,426.5
42.49,482.74
41.26,477.51
74.67,429.21
73.91,430.59
49.64,454.67
57.17,433.54
39.66,479.64
68.51,433.11
42.34,467.03
70.04,433.71
42.77,462.29
45,469.54
51.19,443.22
73.68,438.23
40.78,462.3
58.71,430.38
51.43,441.03
38.25,473.55
68.28,449.94
68.63,449.54
69.71,438.38
47.43,450.27
63.56,444.39
42.18,465.89
68.3,429.66
57.32,442.87
60.77,448.46
44.34,467.72
36.99,464.18
41.96,466.02
77.24,433.35
63.56,446.93
66.49,438.01
59.57,445.59
60.95,444.65
46.18,462.3
65.12,453.99
38.38,475.58
39.63,466.69
44.2,467.04
56.85,437.26
72.24,437.81
41.35,464.93
66.25,437.35
42.02,472.27
39.31,461.97
44.05,451.7
70.36,441.86
77.95,436.83
70.17,434.85
45.01,473.56
41.79,474.03
41.74,471.84
49.16,446.05
38.25,472.3
43.77,453.13
70.8,430.71
45.61,455.61
63.07,440.48
66.54,437.58
60.07,446.26
43.14,461.58
38.68,483.5
39.39,465.74
58.41,450.69
69.51,428.69
36.99,464.7
57.32,449.59
56.65,457.41
41.31,485.57
40.71,471.43
58.79,447.02
43.69,471.62
37.5,474.07
60.08,452.8
75.08,436.67
41.92,464.57
50.12,446.59
45.08,467.21
53.16,458.47
72.25,437.29
44.63,456.54
45.08,465.07
40.55,472.19
56.85,448.71
49.3,438.91
44.89,447.81
48.6,460.86
66.49,449.22
56.03,459.09
38.62,465.29
37.2,463.89
41.62,455.52
59.21,437.78
44.63,473.29
64.27,439.11
63.09,453
63.57,443.28
68.08,427.91
43.8,468.55
44.88,466.8
71.14,430.5
75.23,441.65
62.66,441.32
49.39,455.86
41.14,465.74
44.9,452.75
40.79,461.29
53.82,464
58.16,453.99
70.32,433.45
72.43,431.5
73.4,441.32
44.03,463.96
41.26,472.9
71.25,431.92
40.2,466.29
41.38,492.12
79.05,436.51
40.64,481.13
48.06,455.44
68.67,432.28
58.49,445.49
50.66,456.84
39.48,484.12
65.27,440.99
66.56,426.66
44.21,468.3
48.14,452.38
59.15,440.58
36.3,479.98
67.32,446.71
69.88,435.99
59.8,451.13
68.63,448.2
43.5,476.1
44.47,467.22
58.05,449.38
44.06,451.13
52.3,445.6
43.67,471.96
74.22,430.38
66.51,433.08
60.37,438.5
48.06,462.39
48.6,445.52
43.99,460.81
39.66,481.64
72.58,428.89
62.96,454.26
59.44,446.15
49.02,438.53
48.79,469.52
56.9,444.7
47.43,442.85
70.4,434.01
41.46,479.61
35.77,479.68
39.18,479.42
43.02,478.81
67.32,437.18
45.09,456.25
63.56,446.67
49.69,454.25
63.86,441.65
43.14,460.19
58.18,441.05
69.89,426.35
58.9,437.81
41.5,473.68
70.04,431.96
67.9,445.22
69.23,436.31
70.04,427.1
39.64,480.29
71.97,430.16
70.36,433.06
43.22,466.72
50.05,442.56
37.5,474.81
68.12,432.94
43.5,460.07
56.89,443.5
69.68,438.31
67.69,428.71
39.42,476.12
59.44,443.73
43.21,434.83
40,478.16
77.95,434.09
59.14,442.31
61.08,447.06
72.24,438.34
41.76,463.82
63.94,447.74
41.06,489.96
71.14,435.09
71.58,433.75
43.96,465.86
41.49,469.02
58.2,444.95
43.13,486.94
48.92,447.89
42.32,477.57
58.18,449.25
69.51,428.94
70.32,439.19
40.83,472.22
44.05,444.56
63.86,440.93
38.56,482.77
59.43,442.9
65.48,440.96
68.67,447.34
62.7,441.67
66.51,448.04
48.6,445.98
43.67,468.23
68.51,432.07
70.72,439.3
47.45,446.45
63.87,444.34
39.96,468.57
38.5,488.69
56.03,458.29
66.54,429.73
59.15,448.61
68.94,436.95
40.71,467.01
39.64,459.86
44.89,441.13
70.32,430.29
54.42,453.86
65.48,447.14
56.89,452.64
58.05,446.76
64.63,448.87
58.59,445.92
49.21,447.09
66.54,447.16
39.58,473.46
68.08,433.04
40.67,483.27
66.86,450.93
54.2,448.04
56.9,437.82
59.04,445.37
41.14,480.39
39,463.88
49.39,451.05
73.42,432.2
40.67,489.1
41.82,478.61
40.1,477.2
44.2,475.51
71.14,431.7
70.79,428.79
38.25,470.63
41.4,472.99
61.47,442.54
74.33,425.89
40.69,484.97
74.67,435.41
49.3,440.05
74.33,432.92
46.97,457.68
66.54,439.67
58.46,448.39
40.67,494.84
70.79,430.54
41.04,473.98
65.94,445.61
41.39,474.49
53.82,463.52
68.94,431.96
50.88,457.33
58.9,440.52
47.43,448.83
71.97,431.22
67.79,445.03
43.13,483.63
43.14,463.3
54.42,453.77
39.58,466.78
66.54,437.07
77.24,430.96
64.45,450.65
57.5,449.48
42.07,459.15
58.82,448.67
43.14,480.08
41.66,465.64
58.95,445.1
34.03,469.25
39.82,483.18
41.54,460.95
39.99,462.5
71.8,438.55
73.21,435.34
39.69,470.17
44.21,462.51
49.3,441.77
52.08,450.87
76.09,430.36
40.92,471.71
44.58,467.92
42.86,464.27
39.31,464.16
57.76,452.65
43.72,456.55
56.89,447.92
56.9,439.51
44.21,468.64
40.81,475.29
74.16,431.39
44.84,465.14
38.01,464.03
73.03,439.3
41.92,466.29
43.43,447.83
63.94,444.26
59.15,439.65
66.75,433.9
41.46,479.32
66.05,454.06
60.84,440.76
73.17,430.8
60.93,439.9
40.69,470.9
50.23,455.41
51.3,448.65
51.3,454.94
76.86,434.68
66.25,434.5
73.42,433.44
40.22,477.52
63.09,449.6
38.73,465.76
59.04,444.85
45.01,460.22
38.5,492.92
68.67,444.09
63.47,441.68
63.87,444.06
70.98,434.43
42.23,462.27
72.58,429.59
68.08,432.82
42.44,473.36
71.8,437.4
65.34,445.39
73.77,436.91
69.04,440.49
41.62,463.89
71.77,426.87
51.43,442.53
80.18,431.99
43.52,479.31
51.43,441.49
71.85,431.26
41.2,467.98
41.66,466.7
40.27,475.61
71.64,433.29
73.56,432.93
58.95,443.26
43.67,474.45
41.85,466.72
70.02,436.88
69.84,426.58
43.7,469.28
37.73,470.39
40.73,464.61
63.9,442.7
44.92,459.26
43.02,466.6
60.95,450.38
38.5,486.5
70.36,441.28
43.79,462.11
49.69,462.84
74.16,434.64
58.82,444.11
43.99,467.57
40.55,473.31
45.01,453.24
44.9,454.19
56.65,455.49
67.17,438.49
41.62,461.23
39.04,484.14
61.47,448.66
69.84,438.54
58.79,447.07
37.2,466.81
63.91,447.77
46.18,465.6
76.09,435.01
53.16,455.7
40.55,472.18
56.03,461.96
39,462.28
52.3,442.44
59.92,438.85
70.17,432.46
45.09,470.57
58.16,453.22
39.28,480.92
41.66,468.55
73.06,430.46
46.18,466.06
58.05,449.74
38.44,485.01
66.56,436.3
42.74,464.31
50.59,453.67
49.83,462.54
53.82,465.25
41.23,464.67
74.99,432.94
65.61,447.34
37.73,470.11
61.5,437.37
48.41,444.69
64.15,457.37
69.84,426.6
46.18,463.51
69.23,438.72
57.5,453.34
51.19,443.57
44.34,468.8
40.89,465.37
69.75,439.18
58.96,453.38
62.26,437.41
41.76,464.84
41.22,435.58
63.94,438.55
41.17,478.04
56.89,442.42
58.79,445.67
61.41,452.79
39.85,477.71
51.19,445.54
42.48,457.01
42.28,467.3
77.54,434.7
66.48,436.06
39.52,467.14
43.43,453.2
41.49,467.3
67.71,444.63
69.68,439.72
73.03,439.78
69.14,435.76
58.86,451.87
74.34,434.23
68.31,441.66
37.92,473.72
43.52,460.51
46.18,462.49
69.05,442.14
40.67,480.49
65.34,443.11
45.87,483.27
44.89,451.35
40.12,461.21
63.47,443.94
46.63,464.37
69.48,432.69
58.12,449.91
40.75,477.5
75.33,433.37
71.14,434.99
39.72,467.77
44.58,483.54
70.98,435.48
41.16,466.86
57.76,452.66
52.72,468.01
39.28,472.17
43.79,470.11
41.54,458.47
77.24,433.03
59.39,444.57
60.75,439.43
48.78,441.08
60.95,456.06
65.48,446
60.77,443.13
66.44,430.61
37.85,467.71
39.39,470.23
76.09,432.53
65.94,443.98
69.48,433.81
66.54,430.18
56.89,445.93
61.47,435.78
61.08,448.46
57.19,436.21
44.63,458.75
73.67,437.57
71.37,430.82
40.62,466.83
43.77,453.46
40.71,470.05
50.66,458.72
66.54,427.76
38.18,476.31
71.14,430.41
41.48,465.37
50.59,463.4
41.46,481.3
35.76,480.8
71.97,430.53
49.83,466.83
58.33,439.28
48.92,445.07
39.82,482.47
52.75,469.58
41.4,474.75
61.5,439.14
43.56,464.67
50.12,449.44
44.89,442.83
52.84,438.24
51.19,448.98
41.46,479.45
40.55,470.8
64.69,440.23
71.73,430.55
40.1,469.57
41.93,476.1
41.78,468.58
60.32,446.46
68.24,429.47
49.21,447.03
67.71,443.54
49.78,453.77
71.29,434.94
65.18,436.79
64.15,457.74
68.08,429.52
71.77,432.8
72.58,429.18
61.27,449.81
74.16,436.65
45.87,464.88
70.72,445.66
37.64,460.48
60.23,436.32
73.67,438.42
59.27,445.19
68.67,435.66
77.95,434.99
42.49,481.69
65.94,451.29
67.71,446.1
40.55,474.8
41.16,465.33
43.41,464.76
71.32,434.91
59.8,453.54
42.74,466.15
44.63,461.36
43.79,486.01
58.98,443.75
42.99,469
69.98,432.03
37.87,465.28
45.09,454.74
44.2,454.37
41.23,465.01
66.25,437.55
67.07,442.02
43.41,471.42
42.32,462.13
36.66,480.74
41.66,466.39
41.78,474.27
49.16,436.75
65.46,456.94
70.36,437.31
60.37,440.74
55.5,464.58
41.03,493.16
43.48,468.37
54.3,461.63
40.89,465.73
56.57,442.9
44.9,458.1
65.59,440.53
58.79,443.35
63.94,448.03
43.67,463.81
37.36,478.8
49.82,453.05
49.82,452.33
69.23,435.25
63.13,440.58
41.1,455.13
60.27,442
64.27,444.9
60.37,440.9
66.51,436.16
59.54,437.96
59.54,437.58
56.65,459.1
35.19,490.5
72.86,432.75
45.51,460.14
44.2,455.37
73.5,432.25
42.07,471.6
63.07,456.7
70.32,435.95
39.37,486.84
63.76,435.54
42.86,468.4
65.51,444.8
68.12,435.2
52.05,452.82
39.59,461.94
57.85,444.66
41.58,463.07
78.92,434.64
68.63,446.16
42.42,469.63
44.9,465.23
41.23,456.32
67.79,443.89
42.23,461.78
35.19,480.05
37.73,477.91
55.5,457.5
56.65,455.32
41.7,464.46
69.94,447.06
44.71,485.36
41.1,458.26
67.71,444.55
63.86,447.3
68.67,430.35
49.25,453.99
45.01,456.91
43.52,481.93
40.71,487.79
79.05,430.69
40.92,460.42
39.31,461.06
42.24,469.21
50.32,449.59
43.69,477.3
54.42,455.38
44.9,455.59
38.56,481.05
77.95,434.97
64.69,450.25
50.23,457.51
74.67,428.98
64.45,452.55
45.64,462.58
35.85,464.6
63.77,438.09
44.78,474.77
39.72,471.56
69.51,450.99
43.7,475.73
52.3,439.51
44.47,466.53
73.5,429.84
63.07,441
60.95,442.9
43.13,466.87
43.99,465.81
51.43,440.17
59.8,453.18
68.28,442.04
56.53,455.34
50.23,456.02
40.66,464.7
39.4,488.56
40.24,467.93
41.14,464.07
43.7,465.06
48.98,459.27
52.09,447.04
58.49,458.5
48.06,451.26
41.5,476.04
39.85,474.9
41.79,472.75
66.44,444.48
41.26,477.14
64.15,447.37
67.71,444.9
59.8,452.7
66.25,444.93
39.81,483.59
44.34,474.03
49.5,457.12
45.09,448.35
40.35,474.72
49.69,457.32
36.71,468.36
41.66,465.82
74.93,443.78
61.47,443.66
39.53,456.28
40.78,463.51
41.38,473.88
45.01,459.01
46.21,449.33
58.12,453.19
74.9,434.01
41.2,467.81
40.77,481.03
58.18,448.37
